Themen,Plattformen/Medien,Methoden
Aktivismus,Instagram,Diskursanalyse von Sprache
Küchentisch - Gesrpäche,Telegram,LLMs automatisierte Auswertung
Neutralität der Qualitätsmedien?,Twitch,Sentiment Analysen
Querdenken,YouTube,Webscraping
Tagesschau Kommentare - Wie berichten Nachrichtenportale,,autmatisierte Auswertungen
Verschwinden der Mitte,,
Wahlkampf Linke Social Media Sturm,,
